0ebff6fe-51c6-41f3-8e83-25a2456185ce,kat,1,kat,123,Admin,[],2
1e5fcf00-d501-4b18-bcb6-a37aaf34509f,123,123,123,123,User,[],3
cc04e08c-d6ff-48eb-9b81-a62a6e02e200,cec,cec,cec,123,CEC,[],3
9a943c0c-7586-43ad-b499-4fecf709b053,dame,dame,dame,123,CEC,[fdd878d3-1a87-4c9a-861a-d07f09c57040;7db0af30-cd11-4629-92b8-ed8c7d676842;58a7f335-5225-49fa-8b24-8af9e8ea4195;40f7220b-c87f-4795-a89d-bed9b9658b2f;699102bc-3562-4f7c-8ecf-8325c5878ce5],0
0a4ef1c0-272e-4ad4-b599-ae3ce31035ef,swag,master,123@email.com,Hello123!,User,[],0
98d8d3f5-3bb0-459a-9abf-3c577b0a93f7,katya,123,katya2@yorku.ca,123H!ppp,User,[],0
USER1,Alice,Smith,alice.smith@example.com,123,User,[],2
USER2,Bob,Johnson,bob.johnson@example.com,123,User,[],3
USER3,Carol,Lee,carol.lee@example.com,123,User,[],1
USER4,David,Brown,david.brown@example.com,123,User,[],0
a5e169f3-eeb2-4823-8c4e-3a949e1f7163,Rowdy,Ringo,ringo,123,User,[5c02246c-76b2-4735-92b7-8d00801d0bf4;ae5f4fd5-33ba-41af-9245-887ee711d2ab],2
d005aede-34b2-4671-99d9-88997730b5ce,Katya,K,katya3@yorku.ca,123,Admin,[],0
somerandomidhere,Admin,Admin,admin@admin,123,Admin,[],0
